Ano;Mes;Total;Worm;DOS;Invasao;Web;Scan;Fraude;Outros
2011;Outubro;27966;3903;3;5;856;14868;3238;5093
2011;Novembro;27248;3624;3;6;1243;14053;3819;4500
2011;Dezembro;25581;6214;9;6;1532;10104;3155;4561
2010;Janeiro;8223;1467;5;1;402;3042;2545;761
2010;Fevereiro;8266;2170;5;5;470;2920;2313;383
2010;Março;11836;2236;0;1;780;4573;3529;717
2010;Abril;11462;2127;0;3;522;5463;2829;518
2010;Maio;9680;1310;3;7;653;5027;2359;321
2010;Junho;11680;1324;2;2;706;6533;2872;241
2010;Julho;12661;1150;0;22;986;7718;2440;345
2010;Agosto;14171;1213;4;5;928;9186;2596;239
2010;Setembro;13177;904;0;11;734;8882;2413;233
2010;Outubro;13078;1555;1;18;835;8521;1968;180
2010;Novembro;14551;991;157;9;825;10072;2257;240
2010;Dezembro;14059;1181;21;5;871;8832;2887;262
